file_name,composer,editor,ficta_factor,ficta_bins
CRIM_Mass_0016_4.mei,Adrian Willaert,Vincent Besson,0.017942583732057416,low
CRIM_Mass_0016_5.mei,Adrian Willaert,Vincent Besson,0.011875,low
CRIM_Mass_0017_1.mei,Mathurin Forestier,Vincent Besson,0.037800687285223365,medium
CRIM_Mass_0017_2.mei,Mathurin Forestier,Vincent Besson,0.019302152932442463,low
CRIM_Mass_0017_3.mei,Mathurin Forestier,Vincent Besson,0.025528169014084508,medium
CRIM_Mass_0017_4.mei,Mathurin Forestier,Vincent Besson,0.02799160251924423,medium
CRIM_Mass_0017_5.mei,Mathurin Forestier,Vincent Besson,0.06402164111812443,high
CRIM_Mass_0018_1.mei,Cristóbal de Morales,Vincent Besson,0.02073365231259968,low
CRIM_Mass_0018_2.mei,Cristóbal de Morales,Vincent Besson,0.022204599524187154,low
CRIM_Mass_0018_3.mei,Cristóbal de Morales,Vincent Besson,0.023491292021061157,low
CRIM_Mass_0018_4.mei,Cristóbal de Morales,Vincent Besson,0.024596464258262875,low
CRIM_Mass_0018_5.mei,Cristóbal de Morales,Vincent Besson,0.019417475728155338,low
CRIM_Mass_0019_1.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.00697350069735007,low
CRIM_Mass_0019_2.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.009416195856873822,low
CRIM_Mass_0019_3.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.008368200836820083,low
CRIM_Mass_0019_4.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.011187607573149742,low
CRIM_Mass_0019_5.mei,Giovanni Pierluigi da Palestrina,Vincent Besson,0.009852216748768473,low
CRIM_Mass_0020_1.mei,Roland de Lassus,Vincent Besson,0.017293997965412006,low
CRIM_Mass_0020_2.mei,Roland de Lassus,Vincent Besson,0.01753155680224404,low
CRIM_Mass_0020_3.mei,Roland de Lassus,Vincent Besson,0.016242155777039496,low
CRIM_Mass_0020_4.mei,Roland de Lassus,Vincent Besson,0.00709849157054126,low
CRIM_Mass_0020_5.mei,Roland de Lassus,Vincent Besson,0.01276595744680851,low
CRIM_Mass_0021_1.mei,Roland de Lassus,Jessie Ann Owens,0.018893387314439947,low
CRIM_Mass_0021_2.mei,Roland de Lassus,Jessie Ann Owens,0.01850780798149219,low
CRIM_Mass_0021_3.mei,Roland de Lassus,Jessie Ann Owens,0.009672619047619048,low
CRIM_Mass_0021_4.mei,Roland de Lassus,Jessie Ann Owens,0.008771929824561403,low
CRIM_Mass_0021_5.mei,Roland de Lassus,Jessie Ann Owens,0.011363636363636364,low
CRIM_Mass_0023_1.mei,Ippolito Baccusi,Maxime Popineau,0.0024783147459727386,low
CRIM_Mass_0023_2.mei,Ippolito Baccusi,Maxime Popineau,0.00861244019138756,low
CRIM_Mass_0023_3.mei,Ippolito Baccusi,Maxime Popineau,0.011241696474195196,low
CRIM_Mass_0023_4.mei,Ippolito Baccusi,Maxime Popineau,0.005449591280653951,low
CRIM_Mass_0023_5.mei,Ippolito Baccusi,Maxime Popineau,0.0015360983102918587,low
CRIM_Mass_0024_1.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.010424422933730455,low
CRIM_Mass_0024_2.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.010471204188481676,low
CRIM_Mass_0024_3.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.007803790412486065,low
CRIM_Mass_0024_4.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.011477761836441894,low
CRIM_Mass_0024_5.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.002844950213371266,low
CRIM_Mass_0025_1.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.023728813559322035,low
CRIM_Mass_0025_2.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.022170361726954493,low
CRIM_Mass_0025_3.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.02243125904486252,low
CRIM_Mass_0025_4.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.024544179523141654,low
CRIM_Mass_0025_5.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.018867924528301886,low
CRIM_Mass_0026_1.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.018124507486209612,low
CRIM_Mass_0026_2.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.011757789535567314,low
CRIM_Mass_0026_3.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.013237924865831842,low
CRIM_Mass_0026_4.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.017923823749066467,low
CRIM_Mass_0026_5.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.014522821576763486,low
CRIM_Mass_0027_1.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.025510204081632654,medium
CRIM_Mass_0027_2.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.031484257871064465,medium
CRIM_Mass_0027_3.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.022062350119904078,low
CRIM_Mass_0027_4.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.03036876355748373,medium
CRIM_Mass_0027_5.mei,Francisco Guerrero,María Elena Cuenca Rodríguez,0.02617801047120419,medium
CRIM_Mass_0028_1.mei,Loyset Pieton,Vincent Besson,0.012560386473429951,low
CRIM_Mass_0028_2.mei,Loyset Pieton,Vincent Besson,0.013300492610837438,low
CRIM_Mass_0028_3.mei,Loyset Pieton,Vincent Besson,0.015892801495793082,low
