,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
8,Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,0.446,0.952,6,-5.321,1,0.0523,0.0857,0.112,0.624,125.303,356067,4,80.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
9,AC/DC,Back In Black,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.00965,0.0828,0.763,188.386,255493,4,85.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
10,The Rolling Stones,Beggars Banquet (50th Anniversary Edition),Sympathy For The Devil - 50th Anniversary Edition,1Ud6moTC0KyXMq1Oxfien0,0.702,0.668,9,-9.237,1,0.214,0.0,0.0588,0.561,116.063,378147,4,75.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
11,Jimi Hendrix,Electric Ladyland,All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,8,-6.237,1,0.0624,5.69e-05,0.0842,0.564,113.253,240800,4,77.0,POV: You Just Discovered Popular Music Older than You and are Making it Your Entire Personality
0,KMFDM,WWIII,WWIII,5jHYEOabEw2RSwOzf8nQPn,0.534,0.966,7,-6.597,1,0.0688,0.104,0.436,0.171,139.987,298707,4,45.0,Songs to Punch Drywall To
1,King Gizzard & The Lizard Wizard,Infest The Rats' Nest,Mars For The Rich,4lV1tx0EdlIChOw7Kz7fP0,0.269,0.885,11,-5.938,0,0.0948,0.795,0.132,0.325,129.191,251720,4,45.0,Songs to Punch Drywall To
2,Led Zeppelin,Led Zeppelin III (1994 Remaster),Immigrant Song - 1990 Remaster,6kjlvJLh2DBsSQtqVzFh8I,0.574,0.926,11,-10.79,1,0.0562,0.478,0.386,0.609,113.097,145067,4,0.0,Songs to Punch Drywall To
3,A Day To Remember,Homesick,Mr. Highway's Thinking About The End,3VnBhHJdT7p05Wtenu4fmt,0.301,0.916,10,-6.218,0,0.0919,1.84e-05,0.293,0.451,150.091,255827,4,63.0,Songs to Punch Drywall To
4,The Vines,Future Primitive,Black Dragon,2Z8EqEtv0CxT6Jfzfdhtbf,0.191,0.807,0,-4.726,1,0.0426,0.897,0.158,0.246,138.723,208747,4,43.0,Songs to Punch Drywall To
5,Pantera,Vulgar Display of Power,Fucking Hostile,5RU50TPTgtxJLFNunUS2p5,0.479,0.96,6,-9.551,0,0.0991,4.62e-05,0.208,0.506,93.867,168600,4,57.0,Songs to Punch Drywall To
6,Mastodon,Leviathan,Blood and Thunder,3jagGO7eHHuaD53ibehkux,0.364,0.935,2,-6.548,1,0.0724,0.729,0.0317,0.478,92.717,228587,4,66.0,Songs to Punch Drywall To
7,Slayer,Reign In Blood,Raining Blood,01Mpj13vURSO3cCLprPt5T,0.294,0.995,1,-4.383,0,0.168,0.331,0.128,0.0379,88.777,254400,4,65.0,Songs to Punch Drywall To
8,Pantera,Cowboys from Hell,Domination,769cLRTw2y6KRdkFWFkxtu,0.372,0.888,2,-5.88,1,0.0943,0.00442,0.115,0.555,141.374,305293,4,65.0,Songs to Punch Drywall To
9,Judas Priest,Painkiller,Painkiller,0L7zm6afBEtrNKo6C6Gj08,0.435,0.987,1,-4.667,0,0.16,0.0847,0.268,0.101,103.16,365827,4,68.0,Songs to Punch Drywall To
10,Meshuggah,ObZen,Bleed,4E6wpXABj8XosZEPXZz2OK,0.242,0.998,11,-5.64,1,0.0894,0.88,0.284,0.18,114.642,442733,4,61.0,Songs to Punch Drywall To
0,National Anthem,"U.S.A. - The Stars Spangled Banner, National Anthem, Nationalhymne, Hymne National, Himno Nacional, национальный гимн - Single","U.S.A. - The Stars Spangled Banner, National Anthem, Nationalhymne, Hymne National, Himno Nacional, национальный гимн",6485LTAfFwpJhGCGbuiq3B,0.226,0.264,10,-9.864,1,0.0354,0.898,0.0993,0.252,79.519,83165,3,42.0,Obama's Mixtape
1,The Tabernacle Choir at Temple Square,God Bless America,My Country! 'Tis Of Thee,20xUcvuAf5NdxUnNHSLuDm,0.311,0.102,5,-19.164,1,0.031,0.0,0.141,0.484,78.034,136840,5,23.0,Obama's Mixtape
2,Ray Charles,America the Beautiful,America the Beautiful,5uPakSfc8x3RpbAGSpEHeB,0.402,0.278,3,-11.968,1,0.0366,0.0146,0.0368,0.498,100.804,216973,4,43.0,Obama's Mixtape
3,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",This Land is Your Land,3ZjrfGcb3A2PMGA1vRNgSk,0.606,0.0977,3,-15.668,1,0.0451,0.00148,0.126,0.551,105.593,139693,4,46.0,Obama's Mixtape
4,Various US Military Bands,Patriotic Music for All Occassions,Stars and Stripes Forever,27LWUpmP5CfLLBeqcRQrOx,0.586,0.272,8,-24.673,1,0.0488,0.738,0.206,0.809,121.528,218467,4,31.0,Obama's Mixtape
5,Paul Simon,Over the Bridge of Time: A Paul Simon Retrospective (1964-2011),America,7osZ8vZFHtAtJenio6dW7y,0.262,0.236,2,-15.119,1,0.0367,8.84e-06,0.073,0.33,176.295,208947,3,21.0,Obama's Mixtape
6,Toby Keith,Unleashed,"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa,0.424,0.661,2,-5.547,1,0.0425,1.62e-06,0.0719,0.384,111.762,195533,4,69.0,Obama's Mixtape
7,Lee Greenwood,American Patriot,God Bless The U.S.A.,623lYBOJ7bLwh1bu3yeN5V,0.299,0.422,5,-9.977,1,0.0285,0.0,0.182,0.168,67.797,191600,4,56.0,Obama's Mixtape
8,John Denver,"Poems, Prayers and Promises","Take Me Home, Country Roads",1YYhDizHx7PnDhAhko6cDS,0.462,0.395,9,-9.376,1,0.0264,0.0,0.121,0.625,82.259,190160,4,74.0,Obama's Mixtape
